ID Caso,Código DANE de Municipio,Municipio,Departamento,Año,Mes,Día,ID Persona,Sexo,Etnia,Ocupación,Calidad de la Víctima o la Baja,Tipo de Población Vulnerable,Militante Político,Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Situación Actual de la Víctima,Fuente de Información de la Desaparición,Edad,latitud-longitud
231770,05361,ITUANGO,ANTIOQUIA,1996,10,20,253045,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-75.67842277 7.341549718)
231771,05001,MEDELLIN,ANTIOQUIA,1996,10,20,253046,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-75.61103107 6.257590259)
231772,00000,SIN INFORMACION,SIN INFORMACION,1996,10,20,253047,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-72 4)
231773,27615,RIOSUCIO,CHOCO,1996,10,20,253048,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-77.35636 7.375606)
231774,86320,ORITO,PUTUMAYO,1996,10,20,253049,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-76.94313923 0.673756323)
231775,05045,APARTADO,ANTIOQUIA,1996,10,20,253050,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-76.58236264 7.86047815)
231775,05045,APARTADO,ANTIOQUIA,1996,10,20,253051,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.58236264 7.86047815)
231775,05045,APARTADO,ANTIOQUIA,1996,10,20,253052,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.58236264 7.86047815)
231775,05045,APARTADO,ANTIOQUIA,1996,10,20,253053,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.58236264 7.86047815)
231775,05045,APARTADO,ANTIOQUIA,1996,10,20,253054,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.58236264 7.86047815)
231784,05088,BELLO,ANTIOQUIA,1996,10,20,253059,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,,POINT (-75.58973588 6.358841086)
231785,73555,PLANADAS,TOLIMA,1996,10,21,253060,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-75.81684413 3.09897343)
231786,70215,COROZAL,SUCRE,1996,10,22,253061,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-75.23858178 9.160624283)
231788,20750,SAN DIEGO,CESAR,1996,10,22,253063,HOMBRE,,CAMPESINO,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-73.14473008 10.24429187)
231788,20750,SAN DIEGO,CESAR,1996,10,22,253064,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-73.14473008 10.24429187)
231788,20750,SAN DIEGO,CESAR,1996,10,22,253065,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-73.14473008 10.24429187)
231797,20770,SAN MARTIN,CESAR,1996,10,23,253072,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-73.54436312 7.937788454)
231798,50110,BARRANCA DE UPIA,META,1996,10,23,253073,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-72.99548981 4.519076127)
231801,20710,SAN ALBERTO,CESAR,1996,10,23,253076,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-73.47218888 7.769815987)
231802,54001,CUCUTA,NORTE DE SANTANDER,1996,10,24,253077,HOMBRE,,PROFESIONAL,CIVIL,,,,,APARECIÓ MUERTO,,ADULTEZ (29-59 AÑOS),POINT (-72.48862641 8.112041811)
231803,76895,ZARZAL,VALLE DEL CAUCA,1996,10,24,253078,MUJER,,SIN INFORMACIÓN,CIVIL,SINDICALISTA,,,,DESAPARECIDO,,,POINT (-76.05065336 4.35359875)
231804,23855,VALENCIA,CORDOBA,1996,4,12,253079,HOMBRE,,CAMPESINO,CIVIL,,,,,DESAPARECIDO,,PERSONA MAYOR (60 AÑOS O MAS),POINT (-76.34533989 8.108958641)
