"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total Combatientes","Total Civiles","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"649,093",,"1,983","11","1","05001","MEDELLIN","ANTIOQUIA","VALLE DE ABURRA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-75.578661 6.250063)"
"649,200",,"2,003","4","17","81300","FORTUL","ARAUCA","SARARE","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","FARC","0","0","0","0","0","0","6","0","0",,,"0","1","1","ARTEFACTO EXPLOSIVO","POINT (-71.774279 6.792738)"
"649,202","CR2017649202","2,007","6","26","76109","BUENAVENTURA","VALLE DEL CAUCA","ANDEN PACIFICO SUR","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","FARC","0","0","0","0","0","0","7","0","0",,,"0","2","2","ARTEFACTO EXPLOSIVO","POINT (-77.35596327 3.93032998)"
"659,717",,"2,021","6","25","54001","CUCUTA","NORTE DE SANTANDER","AREA METROPOLITANA DE CUCUTA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","2","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-72.508577 7.905613)"
"679,826","CR2017679826","2,022","1","19","81736","SARAVENA","ARAUCA","SARARE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","20","0","0",,,"0","1","1","ARMA DE FUEGO - ARTEFACTO EXPLOSIVO","POINT (-71.872812 6.953926)"
"679,866",,"2,014","1","16","76563","PRADERA","VALLE DEL CAUCA","SUR DEL VALLE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","FARC","0","0","0","0","0","0","56","0","0",,,"0","1","1","ARTEFACTO EXPLOSIVO","POINT (-76.241832 3.419847)"
"679,973","CR2017679973","2,022","2","16","19256","EL TAMBO","CAUCA","NORTE DEL CAUCA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","5","0","0",,,"0","0","5","ARTEFACTO EXPLOSIVO","POINT (-76.810911 2.451409)"
"700,472",,"2,022","4","19","19050","ARGELIA","CAUCA","PATIA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GRUPO ARMADO NO IDENTIFICADO","PRESENCIA GAO SIN ATRIBUCIÓN","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-77.21574486 2.384480734)"
"710,712",,"2,022","5","2","19050","ARGELIA","CAUCA","PATIA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GRUPO ARMADO NO IDENTIFICADO","PRESENCIA GAO SIN ATRIBUCIÓN","0","0","0","0","0","0","1","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-77.24905 2.257427)"
"710,822",,"2,022","5","12","19142","CALOTO","CAUCA","NORTE DEL CAUCA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","1","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-76.408941 3.034531)"
"722,004",,"2,022","3","5","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","1","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.107359 4.650173)"
"722,065",,"2,022","2","4","19355","INZA","CAUCA","NORTE DEL CAUCA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","7","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-76.13762531 2.499058783)"
"722,081",,"2,022","2","5","54261","EL ZULIA","NORTE DE SANTANDER","AREA METROPOLITANA DE CUCUTA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-72.63152118 8.081200092)"
